I0723 03:32:00.727203       1 cache_metrics.go:337] Cannot find num_requests_running in the metric list, engine type xllm
I0723 03:32:00.727217       1 cache_metrics.go:175] Cannot find num_requests_running in the pod metrics
I0723 03:32:00.727223       1 cache_metrics.go:337] Cannot find num_requests_waiting in the metric list, engine type xllm
I0723 03:32:00.727226       1 cache_metrics.go:175] Cannot find num_requests_waiting in the pod metrics
I0723 03:32:00.727229       1 cache_metrics.go:337] Cannot find num_requests_swapped in the metric list, engine type xllm
I0723 03:32:00.727233       1 cache_metrics.go:175] Cannot find num_requests_swapped in the pod metrics
I0723 03:32:00.727236       1 cache_metrics.go:337] Cannot find avg_prompt_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:00.727239       1 cache_metrics.go:175] Cannot find avg_prompt_throughput_toks_per_s in the pod metrics
I0723 03:32:00.727244       1 cache_metrics.go:337] Cannot find avg_generation_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:00.727247       1 cache_metrics.go:175] Cannot find avg_generation_throughput_toks_per_s in the pod metrics
I0723 03:32:00.727256       1 cache_metrics.go:190] Failed to update metrics gpu_cache_usage_perc from pod deepseek-r1-f46d77457-bbzh6 192.168.0.5 8080: modelName should not be empty for scope PodModel
I0723 03:32:00.727264       1 cache_metrics.go:337] Cannot find cpu_cache_usage_perc in the metric list, engine type xllm
I0723 03:32:00.727268       1 cache_metrics.go:175] Cannot find cpu_cache_usage_perc in the pod metrics
I0723 03:32:00.727275       1 cache_metrics.go:190] Failed to update metrics gpu_busy_time_ratio from pod deepseek-r1-f46d77457-bbzh6 192.168.0.5 8080: modelName should not be empty for scope PodModel
I0723 03:32:00.727280       1 cache_metrics.go:337] Cannot find iteration_tokens_total in the metric list, engine type xllm
I0723 03:32:00.727283       1 cache_metrics.go:209] Cannot find iteration_tokens_total in the pod metrics
I0723 03:32:00.727286       1 cache_metrics.go:337] Cannot find time_to_first_token_seconds in the metric list, engine type xllm
I0723 03:32:00.727290       1 cache_metrics.go:209] Cannot find time_to_first_token_seconds in the pod metrics
I0723 03:32:00.727293       1 cache_metrics.go:337] Cannot find time_per_output_token_seconds in the metric list, engine type xllm
I0723 03:32:00.727295       1 cache_metrics.go:209] Cannot find time_per_output_token_seconds in the pod metrics
I0723 03:32:00.727298       1 cache_metrics.go:337] Cannot find e2e_request_latency_seconds in the metric list, engine type xllm
I0723 03:32:00.727300       1 cache_metrics.go:209] Cannot find e2e_request_latency_seconds in the pod metrics
I0723 03:32:00.727304       1 cache_metrics.go:337] Cannot find request_queue_time_seconds in the metric list, engine type xllm
I0723 03:32:00.727306       1 cache_metrics.go:209] Cannot find request_queue_time_seconds in the pod metrics
I0723 03:32:00.727309       1 cache_metrics.go:337] Cannot find request_inference_time_seconds in the metric list, engine type xllm
I0723 03:32:00.727311       1 cache_metrics.go:209] Cannot find request_inference_time_seconds in the pod metrics
I0723 03:32:00.727314       1 cache_metrics.go:337] Cannot find request_decode_time_seconds in the metric list, engine type xllm
I0723 03:32:00.727317       1 cache_metrics.go:209] Cannot find request_decode_time_seconds in the pod metrics
I0723 03:32:00.727320       1 cache_metrics.go:337] Cannot find request_prefill_time_seconds in the metric list, engine type xllm
I0723 03:32:00.727322       1 cache_metrics.go:209] Cannot find request_prefill_time_seconds in the pod metrics
I0723 03:32:00.727327       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:00.727329       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:00.727334       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:00.727339       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:00.727342       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:00.727344       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:00.727350       1 cache_metrics.go:154] "Prometheus api is not initialized, PROMETHEUS_ENDPOINT is not configured, skip fetching prometheus metrics"
I0723 03:32:01.051717       1 cache_metrics.go:337] Cannot find num_requests_running in the metric list, engine type xllm
I0723 03:32:01.051761       1 cache_metrics.go:175] Cannot find num_requests_running in the pod metrics
I0723 03:32:01.051766       1 cache_metrics.go:337] Cannot find num_requests_waiting in the metric list, engine type xllm
I0723 03:32:01.051769       1 cache_metrics.go:175] Cannot find num_requests_waiting in the pod metrics
I0723 03:32:01.051772       1 cache_metrics.go:337] Cannot find num_requests_swapped in the metric list, engine type xllm
I0723 03:32:01.051774       1 cache_metrics.go:175] Cannot find num_requests_swapped in the pod metrics
I0723 03:32:01.051777       1 cache_metrics.go:337] Cannot find avg_prompt_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.051779       1 cache_metrics.go:175] Cannot find avg_prompt_throughput_toks_per_s in the pod metrics
I0723 03:32:01.051783       1 cache_metrics.go:337] Cannot find avg_generation_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.051787       1 cache_metrics.go:175] Cannot find avg_generation_throughput_toks_per_s in the pod metrics
I0723 03:32:01.051793       1 cache_metrics.go:190] Failed to update metrics gpu_cache_usage_perc from pod deepseek-r1-f46d77457-bbzh6 192.168.0.5 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.051800       1 cache_metrics.go:337] Cannot find cpu_cache_usage_perc in the metric list, engine type xllm
I0723 03:32:01.051802       1 cache_metrics.go:175] Cannot find cpu_cache_usage_perc in the pod metrics
I0723 03:32:01.051806       1 cache_metrics.go:190] Failed to update metrics gpu_busy_time_ratio from pod deepseek-r1-f46d77457-bbzh6 192.168.0.5 8080: modelName should not be empty for scope PodModel
